Rsz	Vjel	NEV__________	Atomtomeg___	Suruseg___	Olvadasp.	Forrasp.	Fajho	E-neg
36	Kr	kripton	83,7982	0,003733	115,93	119,93	0,248	3
37	Rb	rubˇdium	85,46783	1,532	312,79	961	0,363	0,82
38	Sr	stroncium	87,621	2,64	1042,15	1655	0,301	0,95
39	Y	ittrium	88,905852	4,469	1799,15	3609	0,298	1,22
40	Zr	cirk˘nium	91,2242	6,506	2125,15	4682	0,278	1,33
41	Nb	ni˘bium	92,906382	8,57	2741,15	5017	0,265	1,6
42	Mo	molibd‚n	95,962	10,22	2890,15	4912	0,251	2,16
43	Tc	techn‚cium	98,9063	11,5	2473,15	5150	-	1,9
44	Ru	rut‚nium	101,072	12,37	2523,15	4423	0,238	2,2
45	Rh	r˘dium	102,905502	12,41	2239,15	3968	0,243	2,28
46	Pd	pall dium	106,421	12,02	1825,15	3236	0,244	2,2
47	Ag	ezst	107,86822	10,501	1234,15	2435	0,235	1,93
48	Cd	kadmium	112,4118	8,69	594,33	1040	0,232	1,69
49	In	indium	114,8183	7,31	429,91	2345	0,233	1,78
50	Sn	˘n	118,7107	7,287	505,21	2875	0,228	1,96
51	Sb	antimon	121,7601	6,685	904,05	1860	0,207	2,05
52	Te	tellŁr	127,603	6,232	722,8	1261	0,202	2,1
53	I	j˘d	126,904473	4,93	386,65	457,4	0,214	2,66
54	Xe	xenon	131,2936	0,005887	161,45	165,03	0,158	2,6
55	Cs	c‚zium	132,90545192	1,873	301,7	944	0,242	0,79
56	Ba	b rium	137,3277	3,594	1002,15	2170	0,204	0,89
57	La	lant n	138,905477	6,145	1193,15	3737	0,195	1,1
58	Ce	c‚rium	140,1161	6,77	1071,15	3716	0,192	1,12
59	Pr	prazeodˇmium	140,907652	6,773	1204,15	3793	0,193	1,13
60	Nd	neodˇmium	144,2423	7,007	1289,15	3347	0,19	1,14
61	Pm	prom‚tium	146,9151	7,26	1204,15	3273	-	-
62	Sm	szam rium	150,362	7,52	1345,15	2067	0,197	1,17
63	Eu	eur˘pium	151,9641	5,243	1095,15	1802	0,182	-
64	Gd	gadolˇnium	157,253	7,895	1585,15	3546	0,236	1,2
65	Tb	terbium	158,925352	8,229	1630,15	3503	0,182	-
66	Dy	diszpr˘zium	162,5001	8,55	1680,15	2840	0,17	1,22
67	Ho	holmium	164,930322	8,795	1743,15	2993	0,165	1,23
68	Er	erbium	167,2593	9,066	1795,15	3503	0,168	1,24
69	Tm	tŁlium	168,934212	9,321	1818,15	2223	0,16	1,25
70	Yb	itterbium	173,0545	6,965	1097,15	1469	0,155	-
71	Lu	lut‚cium	174,96681	9,84	1936,15	3675	0,154	1,27
72	Hf	hafnium	178,492	13,31	2500,15	4876	0,144	1,3
73	Ta	tant l	180,94791	16,654	3269,15	5731	0,14	1,5
74	W	volfr m	183,841	19,25	3680,15	5828	0,132	2,36
75	Re	r‚nium	186,2071	21,02	3453,15	5869	0,137	1,9
76	Os	ozmium	190,233	22,61	3300,15	5285	0,13	2,2
77	Ir	irˇdium	192,2173	22,56	2716,15	4701	0,131	2,2
78	Pt	platina	195,0849	21,46	2045,15	4098	0,133	2,28
79	Au	arany	196,9665694	19,282	1337,73	3129	0,129	2,54
80	Hg	higany	200,592	13,5336	234,43	630	0,14	2
81	Tl	tallium	204,38332	11,85	577,15	1746	0,129	1,62
82	Pb	˘lom	207,21	11,342	600,75	2022	0,129	2,33
83	Bi	bizmut	208,980401	9,807	544,67	1837	0,122	2,02
84	Po	pol˘nium	208,9824	9,32	527,15	1235	-	2
85	At	aszt cium	209,9871	7	575,15	610		2,2
86	Rn	radon	222,0176	0,00973	202,15	211,3	0,094	-
87	Fr	francium	223,0197	1,87	300,15	950	-	0,7
88	Ra	r dium	226,0254	5,5	973,15	2010		0,9
89	Ac	aktˇnium	227,0278	10,07	1323,15	3471	0,12	1,1
90	Th	t˘rium	232,038062	11,72	2028,15	5061	0,113	1,3
91	Pa	protaktˇnium	231,035882	15,37	1873,15	4300	-	1,5
92	U	ur n	238,028913	18,95	1405,15	4404	0,116	1,38
93	Np	neptŁnium	237,0482	20,45	913,15	4273	-	1,36
94	Pu	plut˘nium	244,0642	19,84	913,15	3501	-	1,28
95	Am	amerˇcium	243,0614	13,69	1267,15	2880	-	1,3
96	Cm	k–rium	247,0704	13,51	1340,15	3383	-	1,3
97	Bk	berk‚lium	247,0703	14,79	1259,15	983	-	1,3
98	Cf	kalifornium	251,0796	15,1	1925,15	1173	-	1,3
99	Es	einsteinium	252,0829	13,5	1133,15	-	-	1,3
100	Fm	fermium	257,0951	-	-	-	-	1,3
101	Md	mendel‚vium	258,0986	-	-	-	-	1,3
102	No	nob‚lium	259,1009	-	-	-	-	1,3
103	Lr	laurencium	264	9,84	-	-	-	-
104	Rf	radzerfordium	265	18,1	-	-	-	-
105	Db	dubnium	268	39	-	-	-	-
106	Sg	sziborgium	272	35	-	-	-	-
107	Bh	borium	273	37	-	-	-	-
108	Hs	hasszium	276	41	-	-	-	-
